C,rank balanced_accuracy,mean balanced_accuracy,std balanced_accuracy,rank accuracy,mean accuracy,std accuracy
0.0008876608757158817,1,0.7799655749628089,0.04752874636655831,263,0.882190765082575,0.01984425500480748
0.0008476443849811126,2,0.7798112539751546,0.04738528958552722,299,0.8816110549376475,0.020076248435041542
0.0011179284880487525,3,0.7792662685088626,0.04205504923600094,149,0.8874148972025615,0.017490550744617774
0.0011707048359804787,4,0.7791119475212083,0.042207891233425714,153,0.8868351870576339,0.01705848404649883
0.006756413074350858,5,0.77760424753441,0.045226825143270005,27,0.9036720593191777,0.012923332485706745
0.006451828352204591,5,0.77760424753441,0.045226825143270005,27,0.9036720593191777,0.012923332485706745
0.005883232704032601,7,0.7776031725430099,0.045520247704327596,24,0.9036737445230874,0.014510206529751048
0.00489195519576891,8,0.7774487233184811,0.046057832107646676,31,0.9030940343781598,0.015967880536756438
0.0061609745627209675,9,0.7774397738501995,0.04525635895874994,48,0.9030923491742501,0.013202066402102216
0.005122899779647389,10,0.7774386988587996,0.0457457416018478,31,0.9030940343781598,0.014985037844051858
0.005364747039181797,10,0.7774386988587996,0.0457457416018478,31,0.9030940343781598,0.014985037844051858
0.005618011679391243,10,0.7774386988587996,0.0457457416018478,31,0.9030940343781598,0.014985037844051858
0.0046714217858576925,13,0.7772953490853522,0.04608614419906002,58,0.9025126390293225,0.015974689909755327
0.00446083020553011,14,0.7769765544134873,0.046125264521952127,83,0.9013515335355577,0.01653656567560817
0.004067699994427719,15,0.7763411150525578,0.04558232940726298,91,0.8990293225480283,0.014973242431433578
0.003884324694702402,15,0.7763411150525578,0.04558232940726298,91,0.8990293225480283,0.014973242431433578
0.004259732268837776,17,0.7763309623560015,0.045799477435076855,91,0.8990293225480283,0.014860597242007617
0.0033823251813463505,18,0.7760233953720931,0.0451085971911501,95,0.8978682170542636,0.014398439797710834
0.0037092161060411784,19,0.7760132426755367,0.04532233227299783,95,0.8978682170542636,0.014043972124877832
0.003542001558232087,20,0.7758589216878825,0.04533040702056466,99,0.897288506909336,0.014648866438031115
0.003229847148367634,21,0.7755523014584995,0.04485894149763589,107,0.8961257162116617,0.014049504062440012
0.0030842429519642063,22,0.7752335067866346,0.04509152021524586,111,0.8949662959218065,0.014967547770452864
0.0008094318709389451,23,0.7750180974158398,0.0511581333404426,355,0.8787074486012809,0.0216175025352759
0.0029452027138648124,24,0.7749147121147697,0.045147787068075616,115,0.8938051904280417,0.015105308488189915
0.0010675313417871702,25,0.7747919066214128,0.04353563712020459,163,0.885675766767779,0.018335756573549793
