C,gamma,rank balanced_accuracy,mean balanced_accuracy,std balanced_accuracy,rank accuracy,mean accuracy,std accuracy
161.7550865593234,9.885855538879606e-06,1,0.8531613437958209,0.07823200336630456,801,0.7771334681496461,0.02608517676377247
8.775953809786483,0.00018527006591647559,1,0.8531613437958209,0.07823200336630456,801,0.7771334681496461,0.02608517676377247
3.940758839629906,0.00041555470680403213,1,0.8531613437958209,0.07823200336630456,801,0.7771334681496461,0.02608517676377247
1890.1870009578247,8.414819504246644e-07,1,0.8531613437958209,0.07823200336630456,801,0.7771334681496461,0.02608517676377247
4.0347332601351225,0.0004246600035724511,5,0.8531510628623901,0.07824899584649773,801,0.7771334681496461,0.02608517676377247
1.7427169005125984,0.0009038132013840626,6,0.8528516268291122,0.07838139318337103,806,0.7759740478597911,0.025159976756778748
53.335391118548294,3.070838383293792e-05,7,0.8528323964273999,0.07850194082808773,807,0.7759723626558813,0.027224791543426885
7550.684828116691,2.1233278735995602e-07,7,0.8528323964273999,0.07850194082808773,807,0.7759723626558813,0.027224791543426885
55.470977725665,2.9854529051726174e-05,7,0.8528323964273999,0.07850194082808773,807,0.7759723626558813,0.027224791543426885
4309.929232735512,3.602585399875251e-07,7,0.8528323964273999,0.07850194082808773,807,0.7759723626558813,0.027224791543426885
0.43777626222907745,0.003857694549129901,11,0.8527073303011395,0.07760943825308216,811,0.7753960229187732,0.02239364749194092
593.6660467684525,2.580555627178805e-06,12,0.8526679227431894,0.07876218536517211,812,0.7753909673070442,0.027615234236432713
169.70255130290457,8.520361964634104e-06,13,0.8483569595485498,0.08099357700451061,813,0.774231547017189,0.026851362637588295
0.2353477636349385,0.0072512718857016675,14,0.8481007180913241,0.0801303556651474,815,0.7730721267273339,0.021170221037834017
0.5623371824182497,0.0027185402761631,15,0.8421261899502623,0.07546317421660449,814,0.7736535220761712,0.02479016311576167
0.19873514991183858,0.010780717157955245,16,0.8418396362270137,0.06633014658687417,795,0.7806218402426693,0.02113963767873316
1.2922840293920763,0.0011216224043511355,17,0.8417992643277667,0.07525348203645764,816,0.7724907313784968,0.024708104566246558
173.5594389832378,8.016745290540618e-06,18,0.8416357373980816,0.07628524541454318,817,0.77190765082575,0.0273871171452036
62.7339558080523,2.1702333989473427e-05,19,0.8414623142455895,0.07605571712833781,818,0.7713262554769127,0.026947675179361082
221.31243659012654,6.2112248596595325e-06,19,0.8414623142455895,0.07605571712833781,818,0.7713262554769127,0.026947675179361082
0.19606010281997258,0.010194442260346647,21,0.8413573146254638,0.06692616721666998,799,0.7788793394000674,0.022227882752694564
1.1700733090232094,0.0011758040374521416,22,0.8408569482637048,0.07543733730532633,820,0.7690040444893832,0.024409863984507243
2.1154513423402364,0.0006409589390082806,23,0.8408478705585487,0.07533600971053261,821,0.7690023592854734,0.024968094753880024
0.08257447338891771,0.020477526026059522,24,0.8395292811243058,0.08009123655876252,825,0.763788338388945,0.02570972324974999
0.10943580008024534,0.013378187204436237,25,0.8390267823665182,0.08084807783692478,826,0.7620441523424335,0.027532678494131265
0.0917922178663064,0.01600046715344102,26,0.8384004207107447,0.08061132491022376,836,0.7597219413549039,0.02863912613652796
1.2571470570021834,0.0008807933837098386,27,0.8368619218905826,0.06959842750184408,827,0.7620441523424334,0.024045238902232122
9.187406271787895,0.00011836480812928264,28,0.8365340495135616,0.06940910725639828,828,0.7608830468486687,0.023379861908504503
1809.5543409107795,5.989859960126444e-07,28,0.8365340495135616,0.06940910725639828,828,0.7608830468486687,0.023379861908504503
0.07882969168028149,0.011936648396869217,30,0.8358945893770272,0.0806583102252771,875,0.7504381530165151,0.030207651199526814
0.07063808446895069,0.011524398837282542,31,0.8349400988704836,0.08142377290149132,884,0.7469514661274014,0.032988288325146366
500.50293651335386,1.0442139272140254e-06,32,0.8348152892179727,0.0798522213574316,885,0.7463784967981126,0.030259681325228063
0.3523142146894068,0.0015195499609532907,33,0.8346830388956071,0.07996668984352395,888,0.7457971014492755,0.028733742903924737
0.057306667223496664,0.013732333523904395,34,0.8346626052656202,0.08191910648104829,892,0.745788675429727,0.0359087242987356
0.07005813711016412,0.010931063206649825,35,0.8346414813548566,0.08191864985569444,891,0.7457903606336367,0.035704425057373264
0.3353053902726131,0.0017526865202181845,36,0.8346317133689242,0.07952503727485143,889,0.7457954162453657,0.030385144320160314
166.12775032653224,2.9615885588294925e-06,37,0.8345529385560416,0.07915546817010742,899,0.7452123356926188,0.02712449602472508
1084.2632387620647,4.615223976021516e-07,38,0.83454183910496,0.07955377120482765,896,0.7452140208965286,0.029714781505145157
5672.437389439116,8.952592768303565e-08,39,0.8345307396538783,0.07957015424205095,896,0.7452140208965286,0.029714781505145157
2.560527707776273,0.00020378890406389484,40,0.834508540751715,0.07987480798874574,894,0.7452157061004382,0.030097742959036847
